0.063s	14.61psia	21.88°C	0.832LPM	1.143mg/s	3.360g

936.938s	18.09psia	21.87°C	0.187LPM	0.319mg/s	3.670g

936.998s	18.04psia	21.86°C	0.187LPM	0.318mg/s	3.670g

937.059s	18.12psia	21.86°C	0.187LPM	0.319mg/s	3.670g

937.119s	18.11psia	21.86°C	0.186LPM	0.318mg/s	3.670g

937.179s	18.08psia	21.86°C	0.186LPM	0.318mg/s	3.670g

937.239s	18.10psia	21.86°C	0.186LPM	0.318mg/s	3.670g

937.308s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.670g

937.368s	18.10psia	21.86°C	0.186LPM	0.318mg/s	3.670g

937.429s	18.09psia	21.87°C	0.186LPM	0.318mg/s	3.670g

937.496s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.670g

937.557s	18.10psia	21.86°C	0.186LPM	0.318mg/s	3.670g

937.617s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.670g

937.677s	18.06psia	21.86°C	0.187LPM	0.318mg/s	3.670g

937.738s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.670g

937.798s	18.13psia	21.85°C	0.186LPM	0.317mg/s	3.670g

937.858s	18.11psia	21.86°C	0.186LPM	0.317mg/s	3.670g

937.919s	18.11psia	21.85°C	0.186LPM	0.318mg/s	3.670g

937.979s	18.10psia	21.86°C	0.186LPM	0.318mg/s	3.670g

938.039s	18.10psia	21.86°C	0.186LPM	0.318mg/s	3.670g

938.100s	18.07psia	21.86°C	0.186LPM	0.318mg/s	3.670g

938.160s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.670g

938.220s	18.10psia	21.85°C	0.186LPM	0.318mg/s	3.670g

938.280s	18.10psia	21.86°C	0.186LPM	0.318mg/s	3.670g

938.341s	18.09psia	21.86°C	0.186LPM	0.317mg/s	3.670g

938.401s	18.10psia	21.87°C	0.187LPM	0.319mg/s	3.670g

938.461s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.670g

938.521s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.670g

938.582s	18.08psia	21.86°C	0.187LPM	0.320mg/s	3.670g

938.642s	18.08psia	21.87°C	0.187LPM	0.319mg/s	3.670g

938.703s	18.07psia	21.86°C	0.187LPM	0.319mg/s	3.670g

938.764s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.670g

938.824s	18.08psia	21.86°C	0.187LPM	0.320mg/s	3.670g

938.884s	18.13psia	21.85°C	0.187LPM	0.319mg/s	3.670g

938.944s	18.10psia	21.86°C	0.186LPM	0.318mg/s	3.670g

939.004s	18.12psia	21.86°C	0.187LPM	0.319mg/s	3.670g

939.064s	18.10psia	21.86°C	0.186LPM	0.319mg/s	3.670g

939.125s	18.11psia	21.86°C	0.186LPM	0.318mg/s	3.670g

939.184s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.670g

939.245s	18.09psia	21.86°C	0.186LPM	0.318mg/s	3.670g

939.305s	18.12psia	21.86°C	0.187LPM	0.320mg/s	3.671g

939.365s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.671g

939.425s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.671g

939.485s	18.08psia	21.86°C	0.187LPM	0.320mg/s	3.671g

939.545s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.671g

939.606s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.671g

939.666s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.671g

939.727s	18.09psia	21.87°C	0.186LPM	0.318mg/s	3.671g

939.787s	18.10psia	21.85°C	0.187LPM	0.320mg/s	3.671g

939.847s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.671g

939.908s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.671g

939.968s	18.11psia	21.87°C	0.187LPM	0.319mg/s	3.671g

940.029s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.671g

940.089s	18.06psia	21.86°C	0.187LPM	0.319mg/s	3.671g

940.149s	18.10psia	21.87°C	0.187LPM	0.319mg/s	3.671g

940.210s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.671g

940.270s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.671g

940.330s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.671g

940.390s	18.11psia	21.85°C	0.186LPM	0.318mg/s	3.671g

940.450s	18.11psia	21.87°C	0.187LPM	0.320mg/s	3.671g

940.511s	18.09psia	21.86°C	0.188LPM	0.320mg/s	3.671g

940.571s	18.10psia	21.86°C	0.187LPM	0.318mg/s	3.671g

940.631s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.671g

940.691s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.671g

940.751s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.671g

940.811s	18.11psia	21.86°C	0.188LPM	0.320mg/s	3.671g

940.872s	18.11psia	21.86°C	0.187LPM	0.318mg/s	3.671g

940.932s	18.12psia	21.86°C	0.187LPM	0.318mg/s	3.671g

940.993s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.671g

941.053s	18.08psia	21.86°C	0.187LPM	0.318mg/s	3.671g

941.113s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.671g

941.173s	18.07psia	21.86°C	0.187LPM	0.319mg/s	3.671g

941.234s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.671g

941.295s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.671g

941.355s	18.11psia	21.85°C	0.187LPM	0.319mg/s	3.671g

941.424s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.671g

941.484s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.671g

941.544s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.671g

941.611s	18.12psia	21.85°C	0.187LPM	0.320mg/s	3.671g

941.672s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.671g

941.732s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.671g

941.792s	18.10psia	21.86°C	0.188LPM	0.321mg/s	3.671g

941.852s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.671g

941.912s	18.11psia	21.85°C	0.187LPM	0.319mg/s	3.671g

941.973s	18.12psia	21.86°C	0.188LPM	0.320mg/s	3.671g

942.033s	18.09psia	21.86°C	0.187LPM	0.318mg/s	3.671g

942.093s	18.11psia	21.86°C	0.187LPM	0.318mg/s	3.671g

942.154s	18.09psia	21.86°C	0.186LPM	0.319mg/s	3.671g

942.214s	18.10psia	21.85°C	0.187LPM	0.319mg/s	3.671g

942.274s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.671g

942.335s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.671g

942.395s	18.10psia	21.85°C	0.187LPM	0.319mg/s	3.671g

942.455s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.671g

942.515s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.671g

942.576s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.671g

942.636s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.671g

942.696s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.671g

942.756s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.671g

942.816s	18.10psia	21.85°C	0.187LPM	0.320mg/s	3.671g

942.876s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.671g

942.936s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.672g

942.997s	18.12psia	21.86°C	0.187LPM	0.320mg/s	3.672g

943.057s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.672g

943.117s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.672g

943.177s	18.12psia	21.86°C	0.188LPM	0.320mg/s	3.672g

943.237s	18.12psia	21.86°C	0.187LPM	0.319mg/s	3.672g

943.297s	18.11psia	21.85°C	0.187LPM	0.319mg/s	3.672g

943.357s	18.06psia	21.85°C	0.187LPM	0.319mg/s	3.672g

943.418s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.672g

943.478s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.672g

943.539s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.672g

943.599s	18.09psia	21.85°C	0.186LPM	0.318mg/s	3.672g

943.659s	18.10psia	21.86°C	0.186LPM	0.318mg/s	3.672g

943.720s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.672g

943.780s	18.09psia	21.85°C	0.186LPM	0.319mg/s	3.672g

943.840s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.672g

943.901s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.672g

943.961s	18.09psia	21.86°C	0.188LPM	0.320mg/s	3.672g

944.021s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.672g

944.081s	18.06psia	21.87°C	0.188LPM	0.320mg/s	3.672g

944.141s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.672g

944.201s	18.12psia	21.86°C	0.188LPM	0.321mg/s	3.672g

944.261s	18.09psia	21.86°C	0.187LPM	0.318mg/s	3.672g

944.322s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.672g

944.383s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.672g

944.443s	18.12psia	21.85°C	0.188LPM	0.321mg/s	3.672g

944.503s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.672g

944.563s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.672g

944.623s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.672g

944.683s	18.06psia	21.86°C	0.187LPM	0.319mg/s	3.672g

944.743s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.672g

944.803s	18.06psia	21.85°C	0.187LPM	0.319mg/s	3.672g

944.864s	18.10psia	21.85°C	0.187LPM	0.320mg/s	3.672g

944.924s	18.06psia	21.86°C	0.187LPM	0.320mg/s	3.672g

944.984s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.672g

945.044s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.672g

945.104s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.672g

945.164s	18.14psia	21.86°C	0.187LPM	0.319mg/s	3.672g

945.225s	18.08psia	21.86°C	0.187LPM	0.318mg/s	3.672g

945.285s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.672g

945.346s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.672g

945.406s	18.11psia	21.87°C	0.187LPM	0.320mg/s	3.672g

945.466s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.672g

945.535s	18.10psia	21.85°C	0.187LPM	0.319mg/s	3.672g

945.595s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.672g

945.655s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.672g

945.723s	18.12psia	21.86°C	0.188LPM	0.320mg/s	3.672g

945.783s	18.11psia	21.86°C	0.186LPM	0.318mg/s	3.672g

945.843s	18.11psia	21.86°C	0.188LPM	0.321mg/s	3.672g

945.903s	18.13psia	21.86°C	0.188LPM	0.321mg/s	3.672g

945.963s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.672g

946.023s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.673g

946.084s	18.08psia	21.85°C	0.187LPM	0.319mg/s	3.673g

946.145s	18.08psia	21.86°C	0.187LPM	0.320mg/s	3.673g

946.205s	18.08psia	21.85°C	0.187LPM	0.319mg/s	3.673g

946.265s	18.06psia	21.85°C	0.188LPM	0.320mg/s	3.673g

946.325s	18.11psia	21.85°C	0.186LPM	0.318mg/s	3.673g

946.385s	18.04psia	21.86°C	0.187LPM	0.319mg/s	3.673g

946.445s	18.12psia	21.86°C	0.187LPM	0.319mg/s	3.673g

946.505s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.673g

946.566s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.673g

946.626s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.673g

946.686s	18.09psia	21.85°C	0.187LPM	0.320mg/s	3.673g

946.746s	18.02psia	21.86°C	0.187LPM	0.319mg/s	3.673g

946.806s	18.11psia	21.86°C	0.188LPM	0.320mg/s	3.673g

946.866s	18.09psia	21.86°C	0.188LPM	0.320mg/s	3.673g

946.926s	18.11psia	21.86°C	0.188LPM	0.320mg/s	3.673g

946.986s	18.11psia	21.86°C	0.186LPM	0.319mg/s	3.673g

947.047s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.673g

947.107s	18.09psia	21.85°C	0.186LPM	0.319mg/s	3.673g

947.167s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.673g

947.227s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.673g

947.287s	18.08psia	21.86°C	0.187LPM	0.318mg/s	3.673g

947.347s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.673g

947.408s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.673g

947.468s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.673g

947.529s	18.11psia	21.85°C	0.187LPM	0.319mg/s	3.673g

947.589s	18.07psia	21.86°C	0.187LPM	0.319mg/s	3.673g

947.649s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.673g

947.709s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.673g

947.769s	18.10psia	21.85°C	0.187LPM	0.319mg/s	3.673g

947.829s	18.10psia	21.85°C	0.187LPM	0.319mg/s	3.673g

947.889s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.673g

947.950s	18.11psia	21.85°C	0.188LPM	0.320mg/s	3.673g

948.010s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.673g

948.070s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.673g

948.130s	18.12psia	21.86°C	0.188LPM	0.322mg/s	3.673g

948.190s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.673g

948.251s	18.08psia	21.87°C	0.187LPM	0.320mg/s	3.673g

948.311s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.673g

948.372s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.673g

948.432s	18.08psia	21.86°C	0.188LPM	0.320mg/s	3.673g

948.492s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.673g

948.552s	18.06psia	21.86°C	0.187LPM	0.319mg/s	3.673g

948.612s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.673g

948.672s	18.12psia	21.86°C	0.187LPM	0.320mg/s	3.673g

948.732s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.673g

948.792s	18.08psia	21.85°C	0.187LPM	0.319mg/s	3.673g

948.853s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.674g

948.913s	18.10psia	21.86°C	0.188LPM	0.321mg/s	3.674g

948.973s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.674g

949.033s	18.09psia	21.86°C	0.188LPM	0.320mg/s	3.674g

949.093s	18.08psia	21.87°C	0.187LPM	0.320mg/s	3.674g

949.153s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.674g

949.214s	18.11psia	21.87°C	0.187LPM	0.319mg/s	3.674g

949.274s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.674g

949.334s	18.11psia	21.86°C	0.188LPM	0.320mg/s	3.674g

949.394s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.674g

949.454s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.674g

949.514s	18.08psia	21.86°C	0.187LPM	0.318mg/s	3.674g

949.574s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.674g

949.644s	18.11psia	21.85°C	0.187LPM	0.321mg/s	3.674g

949.705s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.674g

949.765s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.674g

949.832s	18.13psia	21.85°C	0.187LPM	0.319mg/s	3.674g

949.892s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.674g

949.953s	18.06psia	21.87°C	0.187LPM	0.319mg/s	3.674g

950.013s	18.12psia	21.86°C	0.187LPM	0.319mg/s	3.674g

950.074s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.674g

950.135s	18.11psia	21.85°C	0.187LPM	0.319mg/s	3.674g

950.195s	18.08psia	21.86°C	0.188LPM	0.320mg/s	3.674g

950.255s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.674g

950.315s	18.08psia	21.86°C	0.186LPM	0.318mg/s	3.674g

950.375s	18.10psia	21.85°C	0.187LPM	0.320mg/s	3.674g

950.435s	18.10psia	21.85°C	0.187LPM	0.319mg/s	3.674g

950.495s	18.12psia	21.86°C	0.187LPM	0.320mg/s	3.674g

950.556s	18.07psia	21.85°C	0.187LPM	0.319mg/s	3.674g

950.616s	18.12psia	21.86°C	0.187LPM	0.319mg/s	3.674g

950.676s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.674g

950.736s	18.10psia	21.85°C	0.187LPM	0.319mg/s	3.674g

950.796s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.674g

950.856s	18.08psia	21.85°C	0.187LPM	0.319mg/s	3.674g

950.916s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.674g

950.976s	18.11psia	21.86°C	0.186LPM	0.318mg/s	3.674g

951.037s	18.09psia	21.85°C	0.187LPM	0.320mg/s	3.674g

951.097s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.674g

951.159s	18.10psia	21.86°C	0.186LPM	0.318mg/s	3.674g

951.220s	18.09psia	21.86°C	0.187LPM	0.318mg/s	3.674g

951.280s	18.04psia	21.85°C	0.187LPM	0.318mg/s	3.674g

951.341s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.674g

951.401s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.674g

951.462s	18.09psia	21.87°C	0.188LPM	0.320mg/s	3.674g

951.522s	18.06psia	21.86°C	0.187LPM	0.319mg/s	3.674g

951.582s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.674g

951.642s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.674g

951.702s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.674g

951.762s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.674g

951.822s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.674g

951.883s	18.10psia	21.86°C	0.188LPM	0.321mg/s	3.674g

951.943s	18.08psia	21.86°C	0.188LPM	0.321mg/s	3.674g

952.003s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.675g

952.063s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.675g

952.123s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.675g

952.183s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.675g

952.244s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.675g

952.304s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.675g

952.364s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.675g

952.424s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.675g

952.484s	18.09psia	21.87°C	0.187LPM	0.319mg/s	3.675g

952.544s	18.12psia	21.85°C	0.187LPM	0.320mg/s	3.675g

952.604s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.675g

952.664s	18.10psia	21.86°C	0.188LPM	0.320mg/s	3.675g

952.724s	18.09psia	21.87°C	0.187LPM	0.319mg/s	3.675g

952.785s	18.08psia	21.86°C	0.187LPM	0.318mg/s	3.675g

952.845s	18.11psia	21.86°C	0.188LPM	0.320mg/s	3.675g

952.906s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.675g

952.966s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.675g

953.026s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.675g

953.086s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.675g

953.147s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.675g

953.208s	18.06psia	21.87°C	0.188LPM	0.320mg/s	3.675g

953.268s	18.11psia	21.85°C	0.188LPM	0.321mg/s	3.675g

953.328s	18.06psia	21.85°C	0.187LPM	0.320mg/s	3.675g

953.388s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.675g

953.448s	18.10psia	21.85°C	0.186LPM	0.319mg/s	3.675g

953.508s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.675g

953.568s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.675g

953.629s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.675g

953.689s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.675g

953.759s	18.13psia	21.84°C	0.187LPM	0.320mg/s	3.675g

953.819s	18.08psia	21.86°C	0.187LPM	0.319mg/s	3.675g

953.879s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.675g

953.947s	18.09psia	21.86°C	0.188LPM	0.320mg/s	3.675g

954.007s	18.13psia	21.86°C	0.187LPM	0.320mg/s	3.675g

954.068s	18.10psia	21.86°C	0.187LPM	0.318mg/s	3.675g

954.128s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.675g

954.188s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.675g

954.248s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.675g

954.308s	18.10psia	21.87°C	0.187LPM	0.318mg/s	3.675g

954.368s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.675g

954.429s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.675g

954.489s	18.11psia	21.87°C	0.186LPM	0.318mg/s	3.675g

954.549s	18.11psia	21.85°C	0.186LPM	0.318mg/s	3.675g

954.609s	18.08psia	21.85°C	0.187LPM	0.319mg/s	3.675g

954.669s	18.06psia	21.85°C	0.187LPM	0.319mg/s	3.675g

954.729s	18.06psia	21.85°C	0.188LPM	0.320mg/s	3.675g

954.789s	18.11psia	21.86°C	0.186LPM	0.319mg/s	3.675g

954.850s	18.13psia	21.86°C	0.187LPM	0.319mg/s	3.675g

954.910s	18.06psia	21.85°C	0.187LPM	0.318mg/s	3.675g

954.970s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.675g

955.030s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.675g

955.090s	18.08psia	21.86°C	0.187LPM	0.320mg/s	3.675g

955.150s	18.11psia	21.86°C	0.186LPM	0.318mg/s	3.675g

955.210s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.675g

955.270s	18.13psia	21.86°C	0.187LPM	0.320mg/s	3.675g

955.331s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.676g

955.391s	18.11psia	21.85°C	0.186LPM	0.318mg/s	3.676g

955.451s	18.09psia	21.86°C	0.186LPM	0.319mg/s	3.676g

955.512s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.676g

955.572s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.676g

955.632s	18.10psia	21.86°C	0.187LPM	0.320mg/s	3.676g

955.692s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.676g

955.752s	18.04psia	21.86°C	0.188LPM	0.320mg/s	3.676g

955.813s	18.12psia	21.87°C	0.187LPM	0.320mg/s	3.676g

955.873s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.676g

955.933s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.676g

955.993s	18.09psia	21.86°C	0.188LPM	0.320mg/s	3.676g

956.053s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.676g

956.113s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.676g

956.175s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.676g

956.235s	18.10psia	21.86°C	0.188LPM	0.320mg/s	3.676g

956.295s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.676g

956.355s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.676g

956.415s	18.12psia	21.87°C	0.187LPM	0.319mg/s	3.676g

956.475s	18.11psia	21.86°C	0.188LPM	0.319mg/s	3.676g

956.535s	18.09psia	21.86°C	0.188LPM	0.321mg/s	3.676g

956.596s	18.08psia	21.85°C	0.187LPM	0.318mg/s	3.676g

956.656s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.676g

956.717s	18.12psia	21.86°C	0.187LPM	0.320mg/s	3.676g

956.777s	18.06psia	21.85°C	0.187LPM	0.319mg/s	3.676g

956.837s	18.09psia	21.85°C	0.186LPM	0.319mg/s	3.676g

956.897s	18.09psia	21.87°C	0.188LPM	0.320mg/s	3.676g

956.957s	18.04psia	21.85°C	0.188LPM	0.320mg/s	3.676g

957.017s	18.11psia	21.86°C	0.188LPM	0.320mg/s	3.676g

957.078s	18.11psia	21.85°C	0.187LPM	0.319mg/s	3.676g

957.138s	18.05psia	21.85°C	0.187LPM	0.319mg/s	3.676g

957.198s	18.08psia	21.86°C	0.188LPM	0.320mg/s	3.676g

957.259s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.676g

957.320s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.676g

957.380s	18.07psia	21.87°C	0.187LPM	0.320mg/s	3.676g

957.440s	18.11psia	21.86°C	0.188LPM	0.321mg/s	3.676g

957.501s	18.10psia	21.86°C	0.188LPM	0.321mg/s	3.676g

957.561s	18.11psia	21.85°C	0.187LPM	0.320mg/s	3.676g

957.621s	18.12psia	21.85°C	0.188LPM	0.320mg/s	3.676g

957.681s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.676g

957.741s	18.13psia	21.85°C	0.188LPM	0.321mg/s	3.676g

957.801s	18.11psia	21.86°C	0.188LPM	0.320mg/s	3.676g

957.870s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.676g

957.930s	18.10psia	21.86°C	0.188LPM	0.321mg/s	3.676g

957.991s	18.08psia	21.86°C	0.188LPM	0.321mg/s	3.676g

958.058s	18.09psia	21.86°C	0.187LPM	0.320mg/s	3.676g

958.119s	18.04psia	21.86°C	0.187LPM	0.319mg/s	3.676g

958.179s	18.11psia	21.86°C	0.187LPM	0.320mg/s	3.676g

958.239s	18.11psia	21.86°C	0.188LPM	0.321mg/s	3.676g

958.300s	18.10psia	21.86°C	0.188LPM	0.321mg/s	3.676g

958.360s	18.11psia	21.87°C	0.187LPM	0.319mg/s	3.676g

958.420s	18.08psia	21.86°C	0.188LPM	0.320mg/s	3.677g

958.481s	18.09psia	21.86°C	0.188LPM	0.320mg/s	3.677g

958.542s	18.09psia	21.87°C	0.188LPM	0.321mg/s	3.677g

958.602s	18.11psia	21.87°C	0.187LPM	0.320mg/s	3.677g

958.662s	18.09psia	21.86°C	0.187LPM	0.319mg/s	3.677g

958.722s	18.11psia	21.86°C	0.187LPM	0.319mg/s	3.677g

958.782s	18.09psia	21.87°C	0.187LPM	0.320mg/s	3.677g

958.842s	18.07psia	21.85°C	0.187LPM	0.319mg/s	3.677g

958.903s	18.09psia	21.85°C	0.187LPM	0.319mg/s	3.677g

958.963s	18.12psia	21.86°C	0.187LPM	0.320mg/s	3.677g

959.023s	18.14psia	21.86°C	0.187LPM	0.319mg/s	3.677g

959.083s	18.10psia	21.86°C	0.187LPM	0.319mg/s	3.677g

